Testfile,Logfile,Error Type,Spendable At Least,Model M,Model N,Iterations
testdata\toml\aw.toml,./testdata/toml_test_output/aw.log,0,161963,1264,969,794
testdata\toml\tim12_07_17.toml,./testdata/toml_test_output/tim12_07_17.log,0,99995,978,740,727
testdata\toml\tim2.toml,./testdata/toml_test_output/tim2.log,0,99995,948,717,669
testdata\toml\tim3.toml,./testdata/toml_test_output/tim3.log,0,119995,948,717,1081
testdata\toml\ROJointExample.toml,./testdata/toml_test_output/ROJointExample.log,0,85748,630,487,365
testdata\toml\ROSingleExample.toml,./testdata/toml_test_output/ROSingleExample.log,0,97817,296,234,232
testdata\toml\ROStartHere.toml,./testdata/toml_test_output/ROStartHere.log,0,39679,261,211,126
testdata\toml\hack.toml,,3,0,0,0,0
testdata\toml\j.toml,./testdata/toml_test_output/j.log,0,108000,977,740,654
testdata\toml\j12_07_17.toml,./testdata/toml_test_output/j12_07_17.log,0,99995,978,740,727
testdata\toml\m.toml,./testdata/toml_test_output/m.log,0,78655,296,234,135
testdata\toml\m1.toml,./testdata/toml_test_output/m1.log,0,679250,296,234,173
testdata\toml\m2.toml,./testdata/toml_test_output/m2.log,0,818728,296,234,231
testdata\toml\m3.toml,./testdata/toml_test_output/m3.log,0,48761,433,339,266
testdata\toml\mobile_j.toml,./testdata/toml_test_output/mobile_j.log,0,92876,372,280,211
testdata\toml\mobile_jDefaultInf.toml,./testdata/toml_test_output/mobile_jDefaultInf.log,0,92876,372,280,211
testdata\toml\mobile_jZeroInf.toml,./testdata/toml_test_output/mobile_jZeroInf.log,0,88367,372,280,255
testdata\toml\roth2bug.toml,./testdata/toml_test_output/roth2bug.log,0,80600,511,395,322
testdata\strmap\activeParams.strmap,./testdata/strmap_test_output/activeParams.log,0,99994,978,740,685
testdata\strmap\crashAndBurn.strmap,./testdata/strmap_test_output/crashAndBurn.log,0,19519,765,610,361
testdata\strmap\current.strmap,./testdata/strmap_test_output/current.log,0,129435,1194,901,738
testdata\strmap\empty.strmap,./testdata/strmap_test_output/empty.log,0,10687,261,211,75
testdata\strmap\j.strmap,./testdata/strmap_test_output/j.log,0,67640,765,610,593
testdata\strmap\j1.strmap,./testdata/strmap_test_output/j1.log,0,99994,880,675,565
testdata\strmap\j12_07_17.strmap,./testdata/strmap_test_output/j12_07_17.log,0,99995,978,740,727
testdata\strmap\j2.strmap,./testdata/strmap_test_output/j2.log,1,99994,766,610,575
testdata\strmap\orp_2.strmap,./testdata/strmap_test_output/orp_2.log,0,100383,1075,822,534
testdata\strmap\orp_3.strmap,./testdata/strmap_test_output/orp_3.log,0,129927,1194,901,745
testdata\strmap\orp_3plus.strmap,./testdata/strmap_test_output/orp_3plus.log,0,39995,670,534,353
testdata\strmap\test.strmap,./testdata/strmap_test_output/test.log,0,77585,296,234,137
testdata\toml\zeroSpendable.toml,./testdata/toml_test_output/zeroSpendable.log,0,169393,1264,969,859
testdata\strmap\m900w.strmap,./testdata/strmap_test_output/m900w.log,0,90754,1264,969,931
testdata\toml\zeroSpendableShortTime.toml,./testdata/toml_test_output/zeroSpendableShortTime.log,0,99410,353,287,474
